SEQ|Selection|Species|Author|Family|Genus|MatchType|Backbone|SID|scientificFinal|scientificNameAuthorship|taxonomicStatus|SynonymBackbone|SynonymSID|SpeciesWCUPS|MatchTypeWCUPS|BackboneWCUPS|SIDWCUPS
1|GTS|Abarema alexandri|(Urb.) Barneby & J.W.Grimes|Fabaceae|Abarema|direct|WFO|wfo-0000194222|Abarema alexandri|(Urb.) Barneby & J.W.Grimes|ACCEPTED|""|""|Abarema alexandri|direct|WFO|wfo-0000194222
2|GTS|Abarema cochliocarpos|(Gomes) Barneby & J.W.Grimes|Fabaceae|Abarema|direct|WFO|wfo-0000194208|Abarema cochliocarpos|(Gomes) Barneby & J.W.Grimes|ACCEPTED|""|""|Abarema cochliacarpos|manual|WFO|wfo-0000194208
3|GTS|Abarema jupunba|(Willd.) Britton & Killip|Fabaceae|Abarema|direct|WFO|wfo-0000171294|Abarema jupunba|Britton & Killip|ACCEPTED|""|""|Abarema jupunba|direct|WFO|wfo-0000171294
4|GTS|Abarema laeta|(Benth.) Barneby & J.W.Grimes|Fabaceae|Abarema|direct|WFO|wfo-0001062433|Abarema laeta|(Benth.) Barneby & J.W.Grimes|ACCEPTED|""|""|Abarema laeta|direct|WFO|wfo-0001062433
5|Top830plus|Abelmoschus moschatus|(Top830)|Malvaceae|Abelmoschus|direct|WFO|wfo-0000510888|Abelmoschus moschatus|Medik.|ACCEPTED|""|""|Abelmoschus moschatus|direct|WFO|wfo-0000510888
6|GTS|Abies alba|Mill.|Pinaceae|Abies|direct|WFO|wfo-0000510976|Abies alba|Mill.|ACCEPTED|""|""|Abies alba|direct|WFO|wfo-0000510976
7|GTS|Abies amabilis|(Douglas ex Loudon) J.Forbes|Pinaceae|Abies|direct|WFO|wfo-0000510989|Abies amabilis|Douglas ex J.Forbes|ACCEPTED|""|""|Abies amabilis|direct|WFO|wfo-0000510989
8|GTS|Abies balsamea|(L.) Mill.|Pinaceae|Abies|direct|WFO|wfo-0000511004|Abies balsamea|(L.) Mill.|ACCEPTED|""|""|Abies balsamea|direct|WFO|wfo-0000511004
9|GTS|Abies cephalonica|Loudon|Pinaceae|Abies|direct|WFO|wfo-0000511042|Abies cephalonica|Loudon|ACCEPTED|""|""|Abies cephalonica|direct|WFO|wfo-0000511042
10|GTS|Abies cilicica|(Antoine & Kotschy) Carrière|Pinaceae|Abies|direct|WFO|wfo-0000511062|Abies cilicica|(Antoine & Kotschy) Carrière|ACCEPTED|""|""|Abies cilicica|direct|WFO|wfo-0000511062
