SEQ|Species|Sources|Tree|Treeish_batch|Treeish_justification|SID|WCVP|WCVP_match|TRY_Species|WFO_Accepted|WFO_Unchecked|WFO_Synonym|WFO_none
1|Aaronsohnia factorovskyi|1|NO||""|wfo-0000136695|wcvp-3112132|IPNI|1|1|0|0|0
2|Abarema cochliocarpos|6|YES|1|TreeGOER|wfo-0000194208|wcvp-2609316|IPNI|5|1|0|0|0
3|Abarema levelii|1|YES|1|TreeGOER|wfo-0000194227|wcvp-2609357|IPNI|1|1|0|0|0
4|Abatia glabra|1|NO||""|wfo-0000915963|wcvp-2923845|IPNI|1|1|0|0|0
5|Abatia mexicana|1|YES|1|TreeGOER|wfo-0000915966|wcvp-2923848|IPNI|1|1|0|0|0
6|Abatia parviflora|4|YES|1|TreeGOER|wfo-0000915968|wcvp-2923850|IPNI|2|1|0|0|0
7|Abatia rugosa|1|YES|1|TreeGOER|wfo-0000915969|wcvp-2923851|IPNI|1|1|0|0|0
8|Abatia spicata|1|YES|1|TreeGOER|wfo-0000915970|wcvp-2923852|IPNI|1|1|0|0|0
9|Abelia grandiflora|4|NO||""|wfo-0000510752|wcvp-2609470|IPNI|8|0|1|0|0
10|Abeliophyllum distichum|2|NO||""|wfo-0000822471|wcvp-360127|IPNI|2|1|0|0|0
11|Abelmoschus angulosus|4|YES|3|Tallo|wfo-0000510836|wcvp-2609550|IPNI|1|1|0|0|0
12|Abelmoschus caillei|8|YES|1|TreeGOER+|wfo-0000510845|wcvp-2609559|IPNI|0|1|0|0|0
13|Abelmoschus crinitus|5|NO||""|wfo-0000510854|wcvp-2609567|IPNI|3|1|0|0|0
14|Abelmoschus esculentus|23|NO||""|wfo-0000510862|wcvp-2609574|IPNI|7|1|0|0|0
15|Abelmoschus ficulneus|7|NO||""|wfo-0000510865|wcvp-2609577|IPNI|3|1|0|0|0
16|Abelmoschus manihot|16|NO||""|wfo-0000510878|wcvp-2609589|IPNI|5|1|0|0|0
17|Abelmoschus moschatus|19|YES|1|GlobUNT|wfo-0000510888|wcvp-2609599|IPNI|4|1|0|0|0
18|Abelmoschus sagittifolius|5|NO||""|wfo-0000510919|wcvp-2609626|IPNI|1|1|0|0|0
19|Abies alba|21|YES|1|TreeGOER|wfo-0000510976|wcvp-381621|IPNI|5|1|0|1|0
20|Abies amabilis|18|YES|1|TreeGOER|wfo-0000510989|wcvp-381632|IPNI|6|1|0|1|0
21|Abies balsamea|21|YES|1|TreeGOER|wfo-0000511004|wcvp-381647|IPNI|8|1|0|0|0
22|Abies beshanzuensis|3|YES|1|TreeGOER|wfo-0000511017|wcvp-381658|IPNI|2|1|0|0|0
23|Abies borisii-regis|3|YES|1|TreeGOER+|wfo-0000511023|wcvp-381664|IPNI|5|0|0|0|1
24|Abies bracteata|6|YES|1|TreeGOER|wfo-0000511028|wcvp-381668|IPNI|3|1|0|0|0
25|Abies cephalonica|13|YES|1|TreeGOER|wfo-0000511042|wcvp-381681|IPNI|4|1|0|0|0
26|Abies chensiensis|4|YES|1|TreeGOER|wfo-0000511051|wcvp-381689|IPNI|2|1|0|0|0
27|Abies cilicica|7|YES|1|TreeGOER|wfo-0000511062|wcvp-381699|IPNI|5|1|0|0|0
28|Abies concolor|18|YES|1|TreeGOER|wfo-0000511077|wcvp-381713|IPNI|13|1|0|0|0
29|Abies delavayi|6|YES|1|TreeGOER|wfo-0000511092|wcvp-381727|IPNI|2|1|0|1|0
30|Abies densa|7|YES|1|TreeGOER|wfo-0000511103|wcvp-381736|WCVP|1|1|0|0|0
31|Abies durangensis|3|YES|1|TreeGOER|wfo-0000511112|wcvp-381744|IPNI|1|1|0|0|0
32|Abies fabri|6|YES|1|TreeGOER|wfo-0000511139|wcvp-381768|IPNI|3|1|0|0|0
